Country Name,Country Code,2012,2013,2014,2015,2016,2017
Aruba,ABW,2534636872,2581564246,2649720670,2691620112,2646927374,2700558659
Afghanistan,AFG,19907317066,20561069558,20484885120,19907111419,19046357714,19543976895
Angola,AGO,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11
Albania,ALB,12319784886,12776280961,13228247844,11386931490,11883682171,13038538300
Andorra,AND,3164615187,3281585236,3350736367,2811489409,2877311947,3012914131
Arab World,ARB,2.78679E+12,2.86686E+12,2.90839E+12,2.56077E+12,2.51313E+12,2.58453E+12
United Arab Emirates,ARE,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.82575E+11
Argentina,ARG,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.54861E+11,6.3743E+11
Armenia,ARM,10619320049,11121465767,11609512940,10553337673,10546135160,11536590636
American Samoa,ASM,644000000,641000000,643000000,661000000,653000000,634000000
Antigua and Barbuda,ATG,1211411704,1192919619,1275576784,1359194737,1464630213,1510084751
Australia,AUS,1.54341E+12,1.5737E+12,1.46496E+12,1.34903E+12,1.20804E+12,1.32342E+12
Austria,AUT,4.09425E+11,4.30069E+11,4.41996E+11,3.81806E+11,3.94053E+11,4.16836E+11
Azerbaijan,AZE,69683935845,74164435946,75244294275,53074370486,37867518957,40747792238
Burundi,BDI,2333308099,2451625333,2705783272,3104394858,2959185295,3172416146
Belgium,BEL,4.97884E+11,5.20925E+11,5.30808E+11,4.55838E+11,4.69739E+11,4.94764E+11
Benin,BEN,8152554487,9157355680,9707432016,8291155881,8573159697,9246696924
Burkina Faso,BFA,11166063467,11947176342,12377391463,10419303761,10886363727,12322864245
Bangladesh,BGD,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,2.21415E+11,2.49724E+11
Bulgaria,BGR,53903022339,55555171010,56814543481,50201314895,53240950226,58220973783
Bahrain,BHR,30749308511,32539547872,33387712766,31125851064,32250132979,35432686170
"Bahamas, The",BHS,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000
Bosnia and Herzegovina,BIH,17226849297,18178503835,18558343508,16209702864,16911088174,18054854789
Belarus,BLR,65685102555,75527984234,78813839984,56454734397,47749057078,54456465473
Belize,BLZ,1563827850,1608442150,1692955750,1762500450,1806646250,1862614800
Bermuda,BMU,5537537000,5573710000,,,,
Bolivia,BOL,27084497540,30659338929,32996187988,33000198263,33941126194,37508642113
Brazil,BRA,2.46519E+12,2.47281E+12,2.45599E+12,1.80221E+12,1.79628E+12,2.05359E+12
Barbados,BRB,4656350000,4612500000,4608350000,4584150000,4529050000,4673500000
Brunei Darussalam,BRN,19048495519,18093829923,17098342541,12930394938,11400653949,12128089002
Bhutan,BTN,1823692110,1798333726,1958819096,2059809920,2219675781,2528007911
Botswana,BWA,14420393569,14901750765,16250750259,14406496464,15648632362,17406565823
Central African Republic,CAF,2169706564,1518565298,1702899386,1583776806,1755468137,1949411659
Canada,CAN,1.82429E+12,1.84263E+12,1.79927E+12,1.55252E+12,1.52695E+12,1.64712E+12
Central Europe and the Baltics,CEB,1.35094E+12,1.42188E+12,1.46462E+12,1.2867E+12,1.31568E+12,1.45647E+12
Switzerland,CHE,6.68044E+11,6.88504E+11,7.09183E+11,6.79832E+11,6.70181E+11,6.78965E+11
Channel Islands,CHI,,,,,,
Chile,CHL,2.67122E+11,2.78384E+11,2.60584E+11,2.43999E+11,2.50036E+11,2.77076E+11
China,CHN,8.56055E+12,9.60722E+12,1.04824E+13,1.10647E+13,1.1191E+13,1.22377E+13
Cote d'Ivoire,CIV,26790579775,31273049200,35343298114,39633467836,35389998639,37353276059
Cameroon,CMR,29104437355,32348149947,34942948737,30916218544,32621535419,34922782311
"Congo, Dem. Rep.",COD,29306235826,32679745298,35909040266,37917704900,37134799975,37642482562
"Congo, Rep.",COG,13677930124,14085851348,14177437982,8553154580,9035848071,8701334800
Colombia,COL,3.70574E+11,3.81867E+11,3.81112E+11,2.93482E+11,2.82856E+11,3.14458E+11
Comoros,COM,1015901205,1115906342,1148058015,988150249.5,1024261821,1068124330
Cabo Verde,CPV,1751888562,1850470042,1859898513,1596800287,1663008687,1772706451
Costa Rica,CRI,46473128285,49745088112,50577769838,54775994478,57157992434,57285984448
Caribbean small states,CSS,70588397891,71335339138,72495698044,70862033354,67665555626,68823642410
Cuba,CUB,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000
Curacao,CUW,,,,,,
Cayman Islands,CYM,,,,,,
Cyprus,CYP,25041397919,24084559214,23364707443,19680625485,20453761062,22054225828
Czech Republic,CZE,2.07376E+11,2.09402E+11,2.07818E+11,1.8683E+11,1.9509E+11,2.15914E+11
Germany,DEU,3.54398E+12,3.75251E+12,3.89873E+12,3.38139E+12,3.49516E+12,3.6932E+12
Djibouti,DJI,1353632942,1324733712,1455035089,1633741923,1764268469,1844674435
Dominica,DMA,485998000,501979148.1,523540777.8,540830666.7,575468222.2,496727000
Denmark,DNK,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.11988E+11,3.29866E+11
Dominican Republic,DOM,60657780261,62661773592,66065015410,68802092021,72342967648,75931656815
Algeria,DZA,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11,1.6013E+11,1.67555E+11
East Asia & Pacific (excluding high income),EAP,1.07497E+13,1.18647E+13,1.27575E+13,1.32713E+13,1.35083E+13,1.47394E+13
Early-demographic dividend,EAR,1.00447E+13,1.02301E+13,1.05811E+13,1.02652E+13,1.04969E+13,1.13446E+13
East Asia & Pacific,EAS,2.10314E+13,2.12752E+13,2.19142E+13,2.17952E+13,2.25112E+13,2.39949E+13
Europe & Central Asia (excluding high income),ECA,4.05408E+12,4.31065E+12,4.022E+12,3.07016E+12,2.94234E+12,3.30327E+12
Europe & Central Asia,ECS,2.2368E+13,2.33765E+13,2.36931E+13,2.0399E+13,2.03371E+13,2.15033E+13
Ecuador,ECU,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11
"Egypt, Arab Rep.",EGY,2.79373E+11,2.88586E+11,3.0553E+11,3.32698E+11,3.32928E+11,2.35369E+11
Euro area,EMU,1.26515E+13,1.3203E+13,1.34997E+13,1.16835E+13,1.19769E+13,1.2628E+13
Eritrea,ERI,,,,,,
Spain,ESP,1.33602E+12,1.36185E+12,1.37691E+12,1.19908E+12,1.2375E+12,1.31431E+12
Estonia,EST,23043864510,25137153149,26615854605,22904456872,23984296771,26611651599
Ethiopia,ETH,43310721414,47648211133,55612228234,64464547915,73000980434,80561496134
European Union,EUU,1.73169E+13,1.8053E+13,1.86691E+13,1.64452E+13,1.65468E+13,1.73388E+13
Fragile and conflict affected situations,FCS,8.16296E+11,8.51363E+11,8.60906E+11,7.81967E+11,7.47106E+11,8.22638E+11
Finland,FIN,2.56706E+11,2.6998E+11,2.72609E+11,2.32851E+11,2.3901E+11,2.52302E+11
Fiji,FJI,3972012571,4190143206,4483416340,4362128146,4671313315,5061202767
France,FRA,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.46513E+12,2.5825E+12
Faroe Islands,FRO,2356495468,2613464380,2810547884,2476746087,,
"Micronesia, Fed. Sts.",FSM,326128700,316040600,317999400,315179700,329895600,336427500
Gabon,GAB,17171447372,17590745162,18179752010,14377324798,14014369642,15013950984
United Kingdom,GBR,2.67661E+12,2.75357E+12,3.03473E+12,2.89642E+12,2.65924E+12,2.63787E+12
Georgia,GEO,15846474598,16140047042,16509305829,13993546748,14378016729,15081338092
Ghana,GHA,41939728979,63277216929,53601126664,49181854798,55009730600,58996776238
Gibraltar,GIB,,,,,,
Guinea,GIN,7638045248,8376613797,8778473641,8794202410,8694360305,10472514515
"Gambia, The",GMB,910026155.7,1367041585,1259063630,1394149615,1442298542,1489464788
Guinea-Bissau,GNB,989327811.8,1045790133,1053512334,1047808175,1178204501,1346841897
Equatorial Guinea,GNQ,22389626329,21942597765,21736500713,13180195435,11260900826,12293579173
Greece,GRC,2.45671E+11,2.39862E+11,2.3703E+11,1.96591E+11,1.95222E+11,2.03086E+11
Grenada,GRD,799882259.3,842620111.1,911497407.4,997007925.9,1061631222,1126882296
Greenland,GRL,2609667674,2669515517,2837737194,2520206900,2705898956,
Guatemala,GTM,50388460920,53851148432,58722323918,63767597194,68663653469,75620095538
Guam,GUM,5199000000,5336000000,5538000000,5710000000,5793000000,5859000000
Guyana,GUY,2861560061,2987684143,3077643261,3197222215,3504024213,3621046005
High income,HIC,4.95338E+13,5.01313E+13,5.11792E+13,4.84424E+13,4.94114E+13,5.16259E+13
"Hong Kong SAR, China",HKG,2.62629E+11,2.75697E+11,2.91459E+11,3.09384E+11,3.20881E+11,3.41449E+11
Honduras,HND,18528601901,18499710128,19756494435,20979767785,21643936939,22978532897
Heavily indebted poor countries (HIPC),HPC,5.69106E+11,6.36363E+11,6.72875E+11,6.67163E+11,6.75107E+11,7.43879E+11
Croatia,HRV,56548374546,58147688052,57671307487,49490142433,51640880494,55213087271
Haiti,HTI,7890216508,8452509316,8776350790,8724656126,7970649131,8408150518
Hungary,HUN,1.27857E+11,1.35221E+11,1.40083E+11,1.23074E+11,1.26008E+11,1.39761E+11
IBRD only,IBD,2.51339E+13,2.6571E+13,2.74503E+13,2.59108E+13,2.60585E+13,2.8715E+13
IDA & IBRD total,IBT,2.69254E+13,2.85372E+13,2.9569E+13,2.79903E+13,2.8084E+13,3.08421E+13
IDA total,IDA,1.79443E+12,1.97253E+12,2.12903E+12,2.09128E+12,2.03569E+12,2.1355E+12
IDA blend,IDB,8.98603E+11,9.77362E+11,1.05885E+12,1.003E+12,9.29069E+11,9.24275E+11
Indonesia,IDN,9.1787E+11,9.12524E+11,8.90815E+11,8.60854E+11,9.31877E+11,1.01542E+12
IDA only,IDX,8.86284E+11,9.85643E+11,1.05956E+12,1.08098E+12,1.1035E+12,1.21236E+12
Isle of Man,IMN,6433357030,6754330155,7428280402,6792417112,6592627599,
India,IND,1.82764E+12,1.85672E+12,2.03913E+12,2.10359E+12,2.29043E+12,2.65073E+12
Not classified,INX,,,,,,
Ireland,IRL,2.25129E+11,2.3889E+11,2.59102E+11,2.91092E+11,3.02243E+11,3.3143E+11
"Iran, Islamic Rep.",IRN,5.98853E+11,4.67415E+11,4.34475E+11,3.85874E+11,4.18977E+11,4.54013E+11
Iraq,IRQ,2.18001E+11,2.34648E+11,2.34648E+11,1.77499E+11,1.7056E+11,1.92061E+11
Iceland,ISL,14724078264,16033517529,17758089312,17344165907,20716024757,24488467010
Israel,ISR,2.57436E+11,2.92914E+11,3.1001E+11,3.00471E+11,3.19378E+11,3.53268E+11
Italy,ITA,2.07282E+12,2.13049E+12,2.15173E+12,1.83227E+12,1.86912E+12,1.94384E+12
Jamaica,JAM,14798716216,14193012191,13852192273,14145469269,14072135209,14781107822
Jordan,JOR,30937277606,33593843662,35826925775,37517410282,38654727746,40068308451
Japan,JPN,6.20321E+12,5.15572E+12,4.85041E+12,4.39498E+12,4.94927E+12,4.87242E+12
Kazakhstan,KAZ,2.07999E+11,2.36635E+11,2.21416E+11,1.84388E+11,1.37278E+11,1.62887E+11
Kenya,KEN,50412754861,55096728048,61448041564,64007751188,70875223143,79263075749
Kyrgyz Republic,KGZ,6605139933,7335027592,7468096567,6678178340,6813092066,7564738836
Cambodia,KHM,14054443213,15227991395,16702610842,18049954289,20016747754,22158209503
Kiribati,KIR,190243321.6,185113921.6,179703443.3,171117872.4,178328873,185572501.5
St. Kitts and Nevis,KNA,800392821.2,849496203.9,916857359.5,936314411.5,958973183.2,992007403.1
"Korea, Rep.",KOR,1.22281E+12,1.3056E+12,1.41133E+12,1.38276E+12,1.4148E+12,1.53075E+12
Kuwait,KWT,1.7407E+11,1.74161E+11,1.62631E+11,1.14567E+11,1.10912E+11,1.20126E+11
Latin America & Caribbean (excluding high income),LAC,5.07568E+12,5.19651E+12,5.35667E+12,4.38748E+12,4.28738E+12,4.7419E+12
Lao PDR,LAO,10191350120,11942230508,13268458232,14390391264,15805707154,16853087485
Lebanon,LBN,44047334184,46471385850,48524603055,49910270062,51483909755,53576985687
Liberia,LBR,2721000000,3067000000,3144000000,3177000000,3277826000,3285455000
Libya,LBY,81873662519,65502870174,41142722414,27842131486,26221660076,38107728083
St. Lucia,LCA,1436447074,1469795741,1516576963,1622436704,1635675296,1737504296
Latin America & Caribbean,LCN,6.14379E+12,6.29513E+12,6.41707E+12,5.517E+12,5.38351E+12,5.97206E+12
Least developed countries: UN classification,LDC,8.24271E+11,8.94302E+11,9.71488E+11,9.6158E+11,9.63773E+11,1.07533E+12
Low income,LIC,4.82819E+11,5.30529E+11,5.68626E+11,5.59023E+11,5.41567E+11,5.76921E+11
Liechtenstein,LIE,5456009385,6391735894,6657170923,6268391521,6214633651,
Sri Lanka,LKA,68434409315,74317806538,79356449841,80604080689,81787420023,87357205923
Lower middle income,LMC,5.34063E+12,5.57894E+12,5.8747E+12,5.83608E+12,6.07049E+12,6.56677E+12
Low & middle income,LMY,2.55396E+13,2.71024E+13,2.81571E+13,2.66097E+13,2.67448E+13,2.93354E+13
Lesotho,LSO,2678475775,2526009059,2614566294,2510312805,2323419619,2578265358
Late-demographic dividend,LTE,1.76322E+13,1.9014E+13,1.97054E+13,1.84612E+13,1.84696E+13,2.04597E+13
Lithuania,LTU,42848195256,46417340375,48516371721,41516701871,42973365745,47544459559
Luxembourg,LUX,56677961787,61739352212,66103853237,57204400105,58961235412,62316359824
Latvia,LVA,28119996053,30254677297,31335013752,26972863394,27695474684,30463302414
"Macao SAR, China",MAC,43031577366,51552075902,55347998648,45361678147,45310877913,50361201096
St. Martin (French part),MAF,,,,,,
Morocco,MAR,98266306615,1.06826E+11,1.10081E+11,1.0118E+11,1.03345E+11,1.09709E+11
Monaco,MCO,5743029680,6553372278,7060236168,6258178995,6468252212,
Moldova,MDA,7284686576,7985387152,7983241044,6512885830,6795731286,8128493432
Madagascar,MDG,9919780071,10601690872,10673516673,9744243531,10001193315,11499803807
Maldives,MDV,2886170572,3295011382,3697351597,4109424801,4414055725,4865546027
Middle East & North Africa,MEA,3.57539E+12,3.55317E+12,3.56933E+12,3.14858E+12,3.15661E+12,3.27636E+12
Mexico,MEX,1.20109E+12,1.27444E+12,1.31456E+12,1.17056E+12,1.07778E+12,1.15089E+12
Marshall Islands,MHL,185210500,190800800,183121300,179697900,194497900,204173430.1
Middle income,MIC,2.50529E+13,2.65714E+13,2.75912E+13,2.60571E+13,2.62061E+13,2.87586E+13
North Macedonia,MKD,9745251126,10817712139,11362272838,10064515432,10672471861,11279509014
Mali,MLI,12442747897,13246412031,14345828992,13099495530,14010787738,15334336144
Malta,MLT,9205742002,10146688739,11216758082,10554669618,11274020601,12518134319
Myanmar,MMR,59937797559,60269734045,65446199788,59687410897,63256184700,67068745521
Middle East & North Africa (excluding high income),MNA,1.72845E+12,1.62368E+12,1.59839E+12,1.44418E+12,1.45901E+12,1.44049E+12
Montenegro,MNE,4087724528,4464261816,4587926231,4052913386,4374130531,4844592067
Mongolia,MNG,12292770631,12582122604,12226514722,11749620620,11186734674,11433635876
Northern Mariana Islands,MNP,751000000,782000000,845000000,931000000,1250000000,1593000000
Mozambique,MOZ,14534278440,16018848994,16961117243,14798413628,10981358031,12645508634
Mauritania,MRT,5231255478,5724227185,5391475277,4844223107,4739298730,5024708656
Mauritius,MUS,11668685524,12129642296,12803445934,11692287066,12232463656,13266427697
Malawi,MWI,6028487929,5518880769,6047813437,6373212641,5433040160,6303292264
Malaysia,MYS,3.14443E+11,3.23277E+11,3.38062E+11,2.96636E+11,2.96753E+11,3.1471E+11
North America,NAC,1.80268E+13,1.86331E+13,1.93268E+13,1.97777E+13,2.02402E+13,2.11388E+13
Namibia,NAM,13016272899,12717790505,12786078008,11650656642,11281259987,13253698015
New Caledonia,NCL,,,,,,
Niger,NER,6942258305,7667952566,8229731384,7217667781,7528285444,8119710126
Nigeria,NGA,4.59376E+11,5.14966E+11,5.68499E+11,4.94583E+11,4.0465E+11,3.75745E+11
Nicaragua,NIC,10532001130,10982972256,11880438824,12611087031,13184989878,13814261536
Netherlands,NLD,8.38971E+11,8.76924E+11,8.90981E+11,7.65265E+11,7.83528E+11,8.30573E+11
Norway,NOR,5.10229E+11,5.23502E+11,4.99339E+11,3.86663E+11,3.71345E+11,3.99489E+11
Nepal,NPL,18851513891,19271168018,20002968838,21410840909,21185922408,24880266905
Nauru,NRU,103811958.8,108601538.5,117020381.9,100459782.6,102060129.6,113884908.4
New Zealand,NZL,1.76193E+11,1.90785E+11,2.00955E+11,1.77621E+11,1.89286E+11,2.04139E+11
OECD members,OED,4.79606E+13,4.85918E+13,4.96147E+13,4.68722E+13,4.77904E+13,4.97779E+13
Oman,OMN,76689206762,78784395319,81076723017,68921456437,65941482445,70783875163
Other small states,OSS,4.19417E+11,4.3654E+11,4.4896E+11,3.71321E+11,3.66337E+11,4.04646E+11
Pakistan,PAK,2.24384E+11,2.31219E+11,2.44361E+11,2.70556E+11,2.78655E+11,3.04952E+11
Panama,PAN,40429734400,45599994000,49921464365,54091713776,57957594212,62283756584
Peru,PER,1.92649E+11,2.01218E+11,2.01081E+11,1.89927E+11,1.9164E+11,2.11389E+11
Philippines,PHL,2.50092E+11,2.71836E+11,2.84585E+11,2.92774E+11,3.04889E+11,3.13595E+11
Palau,PLW,214648500,225345700,245675100,293124000,303984500,289823500
Papua New Guinea,PNG,21295834133,21261305413,23060047128,20638636035,19028120013,20536314601
Poland,POL,5.00284E+11,5.24201E+11,5.45285E+11,4.76971E+11,4.71992E+11,5.26466E+11
Pre-demographic dividend,PRE,1.3059E+12,1.43018E+12,1.53029E+12,1.34636E+12,1.22255E+12,1.29674E+12
Puerto Rico,PRI,1.01565E+11,1.0245E+11,1.02446E+11,1.03376E+11,1.03961E+11,
"Korea, Dem. People’s Rep.",PRK,,,,,,
Portugal,PRT,2.16368E+11,2.26073E+11,2.2963E+11,1.9942E+11,2.06276E+11,2.19308E+11
Paraguay,PRY,33283228891,38585317743,40276532541,36164068797,36054281572,39667400816
West Bank and Gaza,PSE,11279400000,12476000000,12715600000,12673000000,13425700000,14498100000
Pacific island small states,PSS,8148836479,8440624522,8800522785,8589369460,9025052142,9665737128
Post-demographic dividend,PST,4.55299E+13,4.5978E+13,4.69158E+13,4.44002E+13,4.53905E+13,4.72394E+13
French Polynesia,PYF,,,,,,
Qatar,QAT,1.86834E+11,1.98728E+11,2.06225E+11,1.6174E+11,1.51732E+11,1.66929E+11
Romania,ROU,1.71196E+11,1.90949E+11,1.99627E+11,1.77893E+11,1.88494E+11,2.11884E+11
Russian Federation,RUS,2.21026E+12,2.29713E+12,2.06366E+12,1.36371E+12,1.28266E+12,1.57842E+12
Rwanda,RWA,7334917697,7621923308,8016591928,8277613194,8475681533,9135454442
South Asia,SAS,2.29728E+12,2.35717E+12,2.58187E+12,2.69731E+12,2.91916E+12,3.34458E+12
Saudi Arabia,SAU,7.35975E+11,7.46647E+11,7.5635E+11,6.5427E+11,6.44936E+11,6.86738E+11
Sudan,SDN,68125631150,72065940086,82151588419,97156119150,95584380032,1.17488E+11
Senegal,SEN,17825417949,18960182371,19770919167,17767620059,18973894459,21070225735
Singapore,SGP,2.90674E+11,3.04454E+11,3.11539E+11,3.04098E+11,3.09764E+11,3.23907E+11
Solomon Islands,SLB,1063879446,1129787198,1172268301,1154650069,1232699139,1303453622
Sierra Leone,SLE,3801862611,4920343195,5015157816,4218723875,3556036535,3775047334
El Salvador,SLV,21386153000,21977401900,22585841200,23166030400,23912227500,24805439600
San Marino,SMR,1800077091,1865374403,1788510017,1523012088,1564380531,1632860041
Somalia,SOM,,6481000000,6562001351,6659000748,6761998534,7052000000
Serbia,SRB,40742313861,45519650911,44210806366,37160332465,38299854688,41431648801
Sub-Saharan Africa (excluding high income),SSA,1.63288E+12,1.73978E+12,1.82731E+12,1.66544E+12,1.54414E+12,1.6695E+12
South Sudan,SSD,11266779661,14940338983,15099661017,10906867790,2904114903,
Sub-Saharan Africa,SSF,1.63394E+12,1.74111E+12,1.82865E+12,1.66682E+12,1.54556E+12,1.671E+12
Small states,SST,4.98155E+11,5.16316E+11,5.30256E+11,4.50772E+11,4.43027E+11,4.83135E+11
Sao Tome and Principe,STP,252560557.1,302924711.4,348941715.4,315521532,354237479.2,392570292.5
Suriname,SUR,4958566170,5149556634,5235212206,4767414748,3152173913,2995827901
Slovak Republic,SVK,93413992956,98478349315,1.00948E+11,87769595120,89848359305,95617670260
Slovenia,SVN,46352802766,48116256926,49904928335,43072415017,44708598649,48769655479
Sweden,SWE,5.44482E+11,5.79361E+11,5.74413E+11,4.98118E+11,5.12205E+11,5.35607E+11
Eswatini,SWZ,4823831657,4560713074,4377293816,4020275298,3817430000,4433664364
Sint Maarten (Dutch part),SXM,,,,,,
Seychelles,SYC,1060222480,1328158360,1343010475,1377492466,1427525457,1497959569
Syrian Arab Republic,SYR,,,,,,
Turks and Caicos Islands,TCA,,,,,,
Chad,TCD,12368071039,12949854263,13922223234,10945989472,10090922857,9871247732
East Asia & Pacific (IDA & IBRD countries),TEA,1.07289E+13,1.18418E+13,1.27329E+13,1.32458E+13,1.34824E+13,1.47112E+13
Europe & Central Asia (IDA & IBRD countries),TEC,4.61092E+12,4.893E+12,4.62496E+12,3.59662E+12,3.46597E+12,3.88495E+12
Togo,TGO,3873529926,4320427496,4568900620,4179185205,4457732625,4757776485
Thailand,THA,3.97558E+11,4.20333E+11,4.07339E+11,4.01399E+11,4.11755E+11,4.55303E+11
Tajikistan,TJK,7633049792,8506045086,9236309138,7854602392,6952678127,7146449583
Turkmenistan,TKM,35164210526,39197543860,43524210526,35799714286,36180000000,37926285714
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.93495E+12,6.08152E+12,6.19946E+12,5.28964E+12,5.15098E+12,5.72069E+12
Timor-Leste,TLS,6671000000,5649800000,4045400000,3104400000,2521000000,2954621000
Middle East & North Africa (IDA & IBRD countries),TMN,1.71718E+12,1.61113E+12,1.58558E+12,1.43138E+12,1.44542E+12,1.42578E+12
Tonga,TON,472358251.2,450686353.7,443911052.3,435438217.3,401117500,427659795.3
South Asia (IDA & IBRD),TSA,2.29728E+12,2.35717E+12,2.58187E+12,2.69731E+12,2.91916E+12,3.34458E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.63394E+12,1.74111E+12,1.82865E+12,1.66682E+12,1.54556E+12,1.671E+12
Trinidad and Tobago,TTO,25601811994,26578524198,27200280855,24401734195,22295585700,22079017627
Tunisia,TUN,45044112939,46251061734,47632326088,43152528548,41808379888,39952095561
Turkey,TUR,8.73982E+11,9.50579E+11,9.34186E+11,8.59797E+11,8.63722E+11,8.51549E+11
Tuvalu,TUV,37671734.83,37509122.07,37290587.5,35556038.82,36572611.89,39731317.3
Tanzania,TZA,39650530214,45680532614,49964788814,47378599025,49774021003,53320625959
Uganda,UGA,23114293416,24599550624,27291879819,27102650387,24133664285,25995031850
Ukraine,UKR,1.75781E+11,1.8331E+11,1.33503E+11,91030959455,93355993629,1.12154E+11
Upper middle income,UMC,1.97123E+13,2.09924E+13,2.17165E+13,2.02145E+13,2.01245E+13,2.21817E+13
Uruguay,URY,51264390116,57531233351,57236013086,53274304222,52687612262,56156972158
United States,USA,1.6197E+13,1.67849E+13,1.75217E+13,1.82193E+13,1.87072E+13,1.94854E+13
Uzbekistan,UZB,51821573338,57690453461,63067077179,66903804143,67445712840,49677172714
St. Vincent and the Grenadines,VCT,692933740.7,721208998.2,727714407.1,755458031.4,770762204.1,785222509.1
"Venezuela, RB",VEN,3.81286E+11,3.71005E+11,4.82359E+11,,,
British Virgin Islands,VGB,,,,,,
Virgin Islands (U.S.),VIR,4095000000,3762000000,3622000000,3759000000,,
Vietnam,VNM,1.5582E+11,1.71222E+11,1.86205E+11,1.93241E+11,2.05276E+11,2.2378E+11
Vanuatu,VUT,781702874.1,801787555.9,814954307,737917151.4,787942567.4,862879789
World,WLD,7.50614E+13,7.72186E+13,7.93199E+13,7.50372E+13,7.61461E+13,8.09348E+13
Samoa,WSM,801168622.3,804808525.5,805162571.8,804100582.5,786640006.1,840927996.6
Kosovo,XKX,6499935757,7071959639,7386891336,6440612177,6714712389,7244888738
"Yemen, Rep.",YEM,35401339869,40415233436,43228583935,45593573381,36436652465,31267675216
South Africa,ZAF,3.96328E+11,3.66643E+11,3.50636E+11,3.17537E+11,2.95747E+11,3.48872E+11
Zambia,ZMB,25503370699,28045460442,27150630607,21154394546,20954754378,25868142073
Zimbabwe,ZWE,17114849900,19091020000,19495519600,19963120600,20548678100,22040902300